"","Trade.Name","City","Reviews","Number_of_Reviews"
"497","422 WCHESTER FRT VEG&GY","BRONX",0,0
"498","43 GLEN COVE","GLEN COVE",0,0
"499","430 FOOD","BRONX",2,NA
"500","437 MANHATTAN DELI","NEW YORK",0,0
"501","43RD DELI THE","NEW YORK",3.9,7
"502","44 DELI & RESTAURANT","BROOKLYN",0,0
"503","44 MART","POUGHKEEPSIE",0,0
"504","45-14 NATIONAL GROCERY","CORONA",0,0
"505","450 LOS SOCIO DELI GROC","BRONX",0,0
"506","453 HARLEM DELI","NEW YORK",0,0
"507","457 A & S GOURMET DELI","YONKERS",3.8,9
"508","4577 MATILDA DELI & GRO","BRONX",4.3,6
"509","46 GROCERY DELI","BROOKLYN",4.5,4
"510","460 EL PATIO DELI GROCE","BRONX",0,0
"511","461 MUNCHIEZ DELI GROCE","BROOKLYN",0,0
"512","467 STAR DELI","NEW YORK",3.8,6
"513","469 US DELI & GROCERY","BRONX",0,0
"514","47 PITT GROCERY","NEW YORK",5,NA
"515","47 ROCKEFELLER","NEW YORK",0,0
"516","470 DELI GROCERY","STATEN ISLAND",5,2
"517","4710 CANDY STORE","BRONX",0,0
"518","477 FOOD","NEW YORK",0,0
"519","48 DELI EXPRESS","BATAVIA",0,0
"520","48 ST GROCERY","BROOKLYN",4.3,6
"521","49 MAIN STREET","LIVINGSTON MANOR",4.5,156
"522","490 TRUCK STOP","BERGEN",1,2
"523","4G DELI","JAMAICA",0,0
"524","4TH AVE FINE FOODS","BROOKLYN",3.5,15
"525","4TH AVE SNACK PLUS","MOUNT VERNON",0,0
"526","4TH AVENUE GOURMET DELI","BROOKLYN",0,0
"527","4TH AVENUE MINI MARKET","BROOKLYN",0,0
"528","4TH STREET FOOD","NEW YORK",4.3,40
"529","4TH STREET MARKET","TROY",4.5,NA
"530","4TH SUBWAY DELI & GRILL","BROOKLYN",3.4,17
"531","5 BEEZ","BROOKLYN",0,0
"532","5 BOROUGH MARKET II","BROOKLYN",4.6,18
"533","5 BOROUGH OF BROOKLYN W","BROOKLYN",0,0
"534","5 DE MAYO","CORONA",4.5,166
"535","5 DE MAYO DELI","STATEN ISLAND",4,41
"536","5 DEMAYO FOOD MARKET 2","BROOKLYN",4.3,104
"537","5 ELEVEN DELI MART","CROWN POINT",4.7,3
"538","5 LOAVES MINI MART","LOCKPORT",3.7,7
"539","5 STAR DELI & CONVENIEN","BINGHAMTON",4.3,16
"540","5 STAR DELI GROCERY","ST ALBANS",0,0
"541","5 STAR EXPRESS DELI AND","BROOKLYN",0,0
"542","5 STAR FOOD MART","BINGHAMTON",4,NA
"543","5 STAR FOOD MART 11","TROY",3.6,23
"544","5 STAR GROCERY STORE","ROCHESTER",0,0
"545","5 STAR JAMAICA DELI","QUEENS VILLAGE",0,0
"546","5 STAR MARKET","HUDSON",0,0
"547","5 TOWN KOSHER MEATS","HEWLETT",5,NA
"548","5-11 CONVENIENCE","STATEN ISLAND",0,0
"549","50 50 EXPRESS MART","BUFFALO",4,5
"550","501 DELI","NEW YORK",0,0
"551","501 GROCERY","NEW YORK",0,0
"552","502 GROCERY","BROOKLYN",0,0
"553","502 SOUTHERN BLVD GRCY","BRONX",0,0
"554","51 DELI & GROCERY NYC","BROOKLYN",0,0
"555","51 EAST BROADWAY MARKET","NEW YORK",3,NA
"556","51 FRESH BAKERY","WOODSIDE",3.3,3
"557","51 M & A DELI GROCERY","BROOKLYN",0,0
"558","514 HUDSON GROCERY & DE","NEW YORK",4.5,4
"559","514 TERRACE FOOD","STATEN ISLAND",0,0
"560","519 GOURMET DELI & GRIL","BROOKLYN",3.3,3
"561","52 VALERO FOOD MART","FISHKILL",3.9,44
"562","520 EAST GROCERY","BRONX",4.4,11
"563","525 GROCERY&DELI","BROOKLYN",5,6
"564","528 EAST ELEVEN DELI","NEW YORK",3.9,15
"565","529 HIGHLAND GAS & REPR","PEEKSKILL",3.7,12
"566","53 BUFFALO DELI","BROOKLYN",0,0
"567","532 FOURTH AVE GRCY DLI","BROOKLYN",0,0
"568","540 TOBACCO GROCERY","BRONX",0,0
"569","5403 STAR GROCERY","BROOKLYN",0,0
"570","543 NORTH DELI GROCERY","BRONX",4.8,5
"571","544 THROOP AVE FOOD MAR","BROOKLYN",0,0
"572","545 DELI GROCERY","BROOKLYN",4.3,24
"573","545 E 137TH ST GROCERY","BRONX",0,0
"574","545 LINDEN DELI GROCERY","BROOKLYN",0,0
"575","548 DELI LAND","BRONX",0,0
"576","549 GROCERY","BRONX",0,0
"577","55 FULTON MARKET","NEW YORK",4.2,497
"578","550 EAST 139TH STREET","BRONX",0,0
"579","553 GOURMET DELI","BROOKLYN",2.3,7
"580","555 ALCIBIADES DELI","BRONX",0,0
"581","555 DELI & GROCERY","BROOKLYN",0,0
"582","560 GROCERY & FOOD","BROOKLYN",4.2,6
"583","5604 GROCERY & DELI II","BROOKLYN",4.6,5
"584","561 STRAIGHT DELI GROCE","NEW YORK",3.9,10
"585","562 MORRIS 99 CENTS PLU","BRONX",0,0
"586","57 BAYARD MEAT MARKET","NEW YORK",4.4,20
"587","5706 MOSHOLU AVE DELI","BRONX",4.3,4
"588","571 EXPRESS DELI GROCER","BRONX",5,NA
"589","576 ATLANTIC AVE MINI M","BROOKLYN",5,3
"590","579 AMERICAN GROCERY","BROOKLYN",0,0
"591","58 BURNSIDE FOOD","BRONX",5,2
"592","5803 MINI MART","BROOKLYN",0,0
"593","581 A & M FOOD","NEW YORK",0,0
"594","581 MYRTLE AVE FOOD","BROOKLYN",0,0
"595","585 ROCHESTER BEER","BROCKPORT",4.7,41
"596","59 BAYARD MARKET","NEW YORK",0,0
"597","590 SEAMAN DELI GROCERY","BALDWIN",0,0
"598","595 KINGSTON MEAT MARKE","KINGSTON",0,0
"599","598 FOOD MART","ROCHESTER",1.5,2
"600","5TH AVE GOURMET DELI GR","BROOKLYN",4.3,6
"601","5TH AVE KING","BROOKLYN",0,0
"602","5TH AVE MINI MARKET & G","BROOKLYN",0,0
"603","5TH AVENUE EVERGREEN SU","BROOKLYN",0,0
"604","5TH AVENUE VILLAGE MRKT","BAYSHORE",3.8,60
"605","6 BROTHERS MARKET & DEL","FAR ROCKAWAY",4.1,48
"606","600 GROCERY & CANDY","NEW YORK",5,NA
"607","61-01 BIG APPLE DELI GR","MASPETH",3.9,34
"608","6109 L & Y MARKET","BROOKLYN",0,0
"609","6122 4TH AVE FOOD","BROOKLYN",4.6,260
"610","62 WOODLAWN FOOD","YONKERS",4.3,31
"611","6206 BABY CITY GROCERY","BROOKLYN",0,0
"612","627 GARDEN GOURMENT DL","BRONX",4,4
"613","6274 STAR DELI & GRILL","RIDGEWOOD",0,0
"614","628 MORRIS FOOD","BRONX",0,0
"615","63-28 99TH ST FARM","REGO PARK",3.7,6
"616","635 GOURMET EXPRESS DEL","BRONX",4,3
"617","6371 DOLGEVILLE","DOLGEVILLE",1,NA
"618","639 EXPRESS DELI FOOD","NEW YORK",0,0
"619","6400 AMBOY ROAD MEAT","STATEN ISLAND",3.6,205
"620","654 GREEN MART","BRONX",0,0
"621","656 FOOD MART","BRONX",3.9,237
"622","66 FOOD MART","HUDSON",3.5,2
"623","66-16 MEAT&PRODUCE","ARVERNE",4.2,28
"624","660 ROGERS FOOD","BROOKLYN",0,0
"625","668 SEAFOOD MARKET","BROOKLYN",0,0
"626","671 KELLY DELI GROCERY","BRONX",4.4,18
"627","673 NEW YORK DELI GROCE","BRONX",0,0
"628","674 NEIGHBORHOOD","BRONX",0,0
"629","676 EAST GROCERY","BRONX",0,0
"630","68 SUTPHIN DELI AND GRI","JAMAICA",3.7,3
"631","681 DELI GROCERY STORE","BRONX",0,0
"632","68TH ST GOURMET DELI","BROOKLYN",0,0
"633","69 DELI AND TOBACCO","BRONX",3.4,12
"634","692 GROCERY","BROOKLYN",4.6,5
"635","6923 THE LUCKY STORE","BROOKLYN",3.3,3
"636","6M HOLDINGS","BROOKLYN",0,0
"637","6TH AVE DELI","BROOKLYN",4.4,29
"638","6TH AVE GRC DELI OF BKL","BROOKLYN",0,0
"639","6TH AVENUE GOURMET","MONROE",0,0
"640","6TH AVENUE MINI MARKET","BROOKLYN",0,0
"641","7 & 7 DELI","QUEENS VILLAGE",4.6,57
"642","7 & 7 GOURMET DELI","BROOKLYN",0,0
"643","7 COFFEE DELI GROCERY M","PLAINVIEW",0,0
"644","7 DAY DELI","TICONDEROGA",0,0
"645","7 DELI GROCERY","STATEN ISLAND",3,21
"646","7 ELEVEN","NEW YORK",0,0
"647","7 ELEVEN  STORE # 27642","SAG HARBOR",3.8,5
"648","7 ELEVEN #35116H","CANASERAGA",3.7,3
"649","7 ELEVEN #37688H","NEW YORK",0,0
"650","7 ELEVEN #38140H","HEMPSTEAD",0,0
"651","7 ELEVEN 39084A","BRONX",2.6,29
"652","7 ELEVEN FD STR 37201H","AMITYVILLE",0,0
"653","7 ELEVEN STORE # 11179A","LYNBROOK",0,0
"654","7 ELEVEN STORE # 11209","HOLBROOK",0,0
"655","7 ELEVEN STORE # 11459","STATEN ISLAND",4.5,13
"656","7 ELEVEN STORE # 11462H","PEARL RIVER",0,0
"657","7 ELEVEN STORE # 22658E","ROCHESTER",2.7,13
"658","7 ELEVEN STORE # 23407F","ROCKVILLE CENTRE",0,0
"659","7 ELEVEN STORE # 34447A","NEW CITY",0,0
"660","7 ELEVEN STORE # 35154A","BUFFALO",0,0
"661","7 ELEVEN STORE # 35195A","ROCHESTER",0,0
"662","7 ELEVEN STORE # 35670B","NEW YORK",0,0
"663","7 ELEVEN STORE # 36758A","BAY SHORE",0,0
"664","7 ELEVEN STORE # 36984H","SAINT ALBANS",0,0
"665","7 ELEVEN STORE # 37018A","FREEPORT",0,0
"666","7 ELEVEN STORE # 37073H","BROOKLYN",0,0
"667","7 ELEVEN STORE # 37090A","ROOSEVELT",0,0
"668","7 ELEVEN STORE # 37176H","NEW YORK",0,0
"669","7 ELEVEN STORE # 37539A","NEW YORK",0,0
"670","7 ELEVEN STORE # 38092A","WYANDANCH",2.6,8
"671","7 ELEVEN STORE # 39267B","MASSAPEQUA",4.7,10
"672","7 ELEVEN STORE # 39392B","NEW YORK",0,0
"673","7 ELEVEN STORE # 65235J","TONAWANDA",0,0
"674","7 ELEVEN STORE #11153J","FREEPORT",0,0
"675","7 ELEVEN STORE #11156F","WEST BABYLON",0,0
"676","7 ELEVEN STORE #11159F","FREEPORT",0,0
"677","7 ELEVEN STORE #11175G","VALLEY STREAM",0,0
"678","7 ELEVEN STORE #11184C","MASSAPEQUA",0,0
"679","7 ELEVEN STORE #11194E","SELDEN",0,0
"680","7 ELEVEN STORE #11204A","ISLIP",0,0
"681","7 ELEVEN STORE #11212C","SMITHTOWN",0,0
"682","7 ELEVEN STORE #11218B","ISLIP TERRACE",0,0
"683","7 ELEVEN STORE #11223A","CENTRAL ISLIP",0,0
"684","7 ELEVEN STORE #11245D","KINGS PARK",0,0
"685","7 ELEVEN STORE #11274M","BUFFALO",0,0
"686","7 ELEVEN STORE #11279H","HENRIETTA",0,0
"687","7 ELEVEN STORE #15869C","BUFFALO",0,0
"688","7 ELEVEN STORE #15879J","MASTIC",0,0
"689","7 ELEVEN STORE #16050E","HAUPPAUGE",0,0
"690","7 ELEVEN STORE #16309E","SOMERS",0,0
"691","7 ELEVEN STORE #16440E","CUTCHOGUE",3.8,4
"692","7 ELEVEN STORE #20093E","GREENPORT",4.6,16
"693","7 ELEVEN STORE #22653C","ROCHESTER",0,0
"694","7 ELEVEN STORE #23377C","RONKONKOMA",0,0
"695","7 ELEVEN STORE #23754B","SOUTHAMPTON",0,0
"696","7 ELEVEN STORE #23924D","PORT JEFFERSON STA",0,0
"697","7 ELEVEN STORE #24326C","ROCKY POINT",0,0
"698","7 ELEVEN STORE #24568F","ELMONT",0,0
"699","7 ELEVEN STORE #24809H","ROCHESTER",0,0
"700","7 ELEVEN STORE #25053B","CENTRAL ISLIP",0,0
"701","7 ELEVEN STORE #25986B","YONKERS",3.9,25
"702","7 ELEVEN STORE #26251C","EAST NORTHPORT",0,0
"703","7 ELEVEN STORE #27037J","BROOKLYN",0,0
"704","7 ELEVEN STORE #27105C","OAKLAND GARDENS",0,0
"705","7 ELEVEN STORE #27690C","GLEN OAKS",0,0
"706","7 ELEVEN STORE #29791C","SAYVILLE",2.8,8
"707","7 ELEVEN STORE #29942B","SMITHTOWN",0,0
"708","7 ELEVEN STORE #32722B","ROCKY POINT",0,0
"709","7 ELEVEN STORE #32757B","HUNTINGTON",0,0
"710","7 ELEVEN STORE #32757C","HUNTINGTON",0,0
"711","7 ELEVEN STORE #33574J","LONG ISLAND CITY",0,0
"712","7 ELEVEN STORE #33607B","HUNTINGTON",0,0
"713","7 ELEVEN STORE #33663H","EAST MEADOW",0,0
"714","7 ELEVEN STORE #33684H","RIDGEWOOD",0,0
"715","7 ELEVEN STORE #33709J","BROOKLYN",0,0
"716","7 ELEVEN STORE #34069B","MELVILLE",0,0
"717","7 ELEVEN STORE #34081H","LAKE GROVE",3.4,7
"718","7 ELEVEN STORE #34083B","EAST NORTHPORT",0,0
"719","7 ELEVEN STORE #34257B","OLD BETHPAGE",2,8
"720","7 ELEVEN STORE #34298B","NESCONSET",0,0
"721","7 ELEVEN STORE #34439C","WOODSIDE",0,0
"722","7 ELEVEN STORE #34450B","SMITHTOWN",0,0
"723","7 ELEVEN STORE #34549B","VALLEY STREAM",0,0
"724","7 ELEVEN STORE #34673A","CORAM",0,0
"725","7 ELEVEN STORE #34757A","HEWLETT",0,0
"726","7 ELEVEN STORE #34909A","FLORAL PARK",2.9,15
"727","7 ELEVEN STORE #35047A","HICKSVILLE",0,0
"728","7 ELEVEN STORE #35049A","BROOKLYN",0,0
"729","7 ELEVEN STORE #35050B","ASTORIA",0,0
"730","7 ELEVEN STORE #35073A","WEST HENRIETTA",4.3,15
"731","7 ELEVEN STORE #35078A","CORNING",0,0
"732","7 ELEVEN STORE #35096A","HORNELL",0,0
"733","7 ELEVEN STORE #35099A","HORNELL",0,0
"734","7 ELEVEN STORE #35111A","ARKPORT",3.4,9
"735","7 ELEVEN STORE #35123J","PAINTED POST",3.4,10
"736","7 ELEVEN STORE #35130A","BOWMANSVILLE",0,0
"737","7 ELEVEN STORE #35131A","BUFFALO",0,0
"738","7 ELEVEN STORE #35134A","NIAGARA FALLS",0,0
"739","7 ELEVEN STORE #35140A","NIAGARA FALLS",0,0
"740","7 ELEVEN STORE #35142A","EAST AMHERST",3.4,5
"741","7 ELEVEN STORE #35148A","BUFFALO",0,0
"742","7 ELEVEN STORE #35153A","TONAWANDA",0,0
"743","7 ELEVEN STORE #35163A","BUFFALO",0,0
"744","7 ELEVEN STORE #35166A","BUFFALO",0,0
"745","7 ELEVEN STORE #35171A","NIAGARA FALLS",0,0
"746","7 ELEVEN STORE #35181B","GRAND ISLAND",0,0
"747","7 ELEVEN STORE #35181J","GRAND ISLAND",0,0
"748","7 ELEVEN STORE #35185A","ROCHESTER",0,0
"749","7 ELEVEN STORE #35193A","ROCHESTER",0,0
"750","7 ELEVEN STORE #35197A","ROCHESTER",0,0
"751","7 ELEVEN STORE #35199A","NIAGARA FALLS",0,0
"752","7 ELEVEN STORE #35202A","HAMBURG",0,0
"753","7 ELEVEN STORE #35204A","JAMESTOWN",0,0
"754","7 ELEVEN STORE #35205A","JAMESTOWN",0,0
"755","7 ELEVEN STORE #35232A","JAMESTOWN",0,0
"756","7 ELEVEN STORE #35237A","BUFFALO",0,0
"757","7 ELEVEN STORE #35245A","LANCASTER",0,0
"758","7 ELEVEN STORE #35248A","ROCHESTER",0,0
"759","7 ELEVEN STORE #35255A","ITHACA",3.2,15
"760","7 ELEVEN STORE #35256A","NORTH TONAWANDA",0,0
"761","7 ELEVEN STORE #35302A","MINEOLA",0,0
"762","7 ELEVEN STORE #35516","NEW YORK",0,0
"763","7 ELEVEN STORE #35520A","CENTER MORICHES",3.3,17
"764","7 ELEVEN STORE #35621A","NEW YORK",0,0
"765","7 ELEVEN STORE #35642A","NEW YORK",0,0
"766","7 ELEVEN STORE #35676A","VALLEY STREAM",3.4,10
"767","7 ELEVEN STORE #35691A","GREAT NECK",3.1,15
"768","7 ELEVEN STORE #35699A","WEST BABYLON",0,0
"769","7 ELEVEN STORE #35703B","FARMINGDALE",0,0
"770","7 ELEVEN STORE #35710A","NEW YORK",0,0
"771","7 ELEVEN STORE #35762A","SPRING VALLEY",0,0
"772","7 ELEVEN STORE #35764A","RIDGEWOOD",0,0
"773","7 ELEVEN STORE #35866B","NEW YORK",0,0
"774","7 ELEVEN STORE #35895A","NEW YORK",0,0
"775","7 ELEVEN STORE #35987B","FOREST HILLS",0,0
"776","7 ELEVEN STORE #36025H","BROOKLYN",0,0
"777","7 ELEVEN STORE #36038H","BROOKLYN",0,0
"778","7 ELEVEN STORE #36043A","MEDFORD",0,0
"779","7 ELEVEN STORE #36442A","NANUET",3.1,16
"780","7 ELEVEN STORE #36469H","BALDWIN",0,0
"781","7 ELEVEN STORE #36478A","NEW YORK",3.6,36
"782","7 ELEVEN STORE #36481A","GLEN COVE",0,0
"783","7 ELEVEN STORE #36678A","NEW YORK",0,0
"784","7 ELEVEN STORE #36797","NEW YORK",0,0
"785","7 ELEVEN STORE #36799A","NEW YORK",0,0
"786","7 ELEVEN STORE #36877A","STONY POINT",0,0
"787","7 ELEVEN STORE #36887B","UNIONDALE",0,0
"788","7 ELEVEN STORE #36950A","BROOKLYN",0,0
"789","7 ELEVEN STORE #36979H","NEW YORK",0,0
"790","7 ELEVEN STORE #37025A","RIVERHEAD",0,0
"791","7 ELEVEN STORE #37040A","NESCONSET",0,0
"792","7 ELEVEN STORE #37058A","MERRICK",0,0
"793","7 ELEVEN STORE #37060A","BROOKLYN",0,0
"794","7 ELEVEN STORE #37064H","SPRINGFIELD GARDEN",0,0
"795","7 ELEVEN STORE #37082H","EAST MEADOW",0,0
"796","7 ELEVEN STORE #37127A","PORT JEFFERSON STA",0,0
"797","7 ELEVEN STORE #37142A","HEMPSTEAD",0,0
"798","7 ELEVEN STORE #37142B","HEMPSTEAD",0,0
"799","7 ELEVEN STORE #37151A","EAST MEADOW",0,0
"800","7 ELEVEN STORE #37168H","LINDENHURST",0,0
"801","7 ELEVEN STORE #37270A","PATCHOGUE",0,0
"802","7 ELEVEN STORE #37284A","HUNTINGTON STATION",0,0
"803","7 ELEVEN STORE #37286H","PATCHOGUE",0,0
"804","7 ELEVEN STORE #37615A","HOLTSVILLE",0,0
"805","7 ELEVEN STORE #37631H","BROOKHAVEN",0,0
"806","7 ELEVEN STORE #37717H","HOWARD BEACH",4.1,17
"807","7 ELEVEN STORE #37733H","LYNBROOK",0,0
"808","7 ELEVEN STORE #38095H","UNIONDALE",0,0
"809","7 ELEVEN STORE #38175A","OYSTER BAY",5,9
"810","7 ELEVEN STORE #38220H","LINDENHURST",0,0
"811","7 ELEVEN STORE #39180A","WEST BABYLON",0,0
"812","7 ELEVEN STORE #39190B","CORONA",0,0
"813","7 ELEVEN STORE #39291B","STATEN ISLAND",0,0
"814","7 ELEVEN STORE #39455B","CARLE PLACE",0,0
"815","7 ELEVEN STORE #39478B","JAMAICA",0,0
"816","7 ELEVEN STORE #39479B","STATEN ISLAND",0,0
"817","7 ELEVEN STORE #39691A","LONG BEACH",0,0
"818","7 ELEVEN STORE #39775A","STATEN ISLAND",0,0
"819","7 ELEVEN STORE #39778A","HAUPPAUGE",0,0
"820","7 ELEVEN STORE #39794A","BAY SHORE",0,0
"821","7 ELEVEN STORE 11150G","WESTBURY",0,0
"822","7 ELEVEN STORE 11178 E","SYOSSET",2.6,15
"823","7 ELEVEN STORE 33499B","LINDENHURST",2.9,7
"824","7 ELEVEN STORE 33633B","NEW YORK",0,0
"825","7 ELEVEN STORE 34352A","CARLE PLACE",0,0
"826","7 ELEVEN STORE 34736H","BROOKLYN",0,0
"827","7 ELEVEN STORE 35162A","BUFFALO",0,0
"828","7 ELEVEN STORE 37034A","COMMACK",4,4
"829","7 ELEVEN STORE# 34051B","BROOKLYN",2.7,27
"830","7 ELEVEN STORE#34233T1","WHITE PLAINS",0,0
"831","7 ELEVEN STORE#35859J","JACKSON HEIGHTS",0,0
"832","7 ELEVEN STORES #34351H","WHITE PLAINS",0,0
"833","7 ELEVEN STROE #37116A","NEW YORK",0,0
"834","7 MIDNIGHTS EXPRESS MAR","BUFFALO",0,0
"835","7 STAR DELI GROCERY","JACKSON HEIGHTS",4.8,4
"836","7- ELEVEN STORE #21412K","ROCHESTER",0,0
"837","7- ELEVEN STORE 34008B","ASTORIA",0,0
"838","7-11 FOOD STORE 39804A","HEMPSTEAD",0,0
"839","7-ELEVEN","SCARSDALE",0,0
"840","7-ELEVEN #16725L","LOCKPORT",0,0
"841","7-ELEVEN #25690C","JERICHO",0,0
"842","7-ELEVEN #26673J","BROOKLYN",2.7,23
"843","7-ELEVEN #33545A","HUNTINGTON STATION",0,0
"844","7-ELEVEN #34362A","STATEN ISLAND",0,0
"845","7-ELEVEN #35073","WEST HENRIETTA",4.3,15
"846","7-ELEVEN #35080","FARMINGTON",0,0
"847","7-ELEVEN #35081H","HONEOYE",2.7,7
"848","7-ELEVEN #35082","LIVONIA",0,0
"849","7-ELEVEN #35083H","RUSH",0,0
"850","7-ELEVEN #35084H","WAYLAND",0,0
"851","7-ELEVEN #35085H","WEST BLOOMFIELD",3.7,10
"852","7-ELEVEN #35087","BERGEN",0,0
"853","7-ELEVEN #35089H","NUNDA",3.5,2
"854","7-ELEVEN #35090H","OAKFIELD",0,0
"855","7-ELEVEN #35092","ADDISON",0,0
"856","7-ELEVEN #35095","ALLEGANY",0,0
"857","7-ELEVEN #35097","PORTVILLE",3.5,4
"858","7-ELEVEN #35103","ATTICA",0,0
"859","7-ELEVEN #35106H","SOUTH WALES",0,0
"860","7-ELEVEN #35110H","OLEAN",0,0
"861","7-ELEVEN #35112","ROCHESTER",4,4
"862","7-ELEVEN #35114H","DANSVILLE",2.4,9
"863","7-ELEVEN #35115H","PHELPS",0,0
"864","7-ELEVEN #35117H","CLARENCE",0,0
"865","7-ELEVEN #35118H","HEMLOCK",0,0
"866","7-ELEVEN #35124H","GENESEO",4,5
"867","7-ELEVEN #35127","BUFFALO",0,0
"868","7-ELEVEN #35128","BUFFALO",0,0
"869","7-ELEVEN #35135","BUFFALO",0,0
"870","7-ELEVEN #35136","CHEEKTOWAGA",0,0
"871","7-ELEVEN #35138H","CHEEKTOWAGA",0,0
"872","7-ELEVEN #35139","CHEEKTOWAGA",0,0
"873","7-ELEVEN #35144H","NORTH TONAWANDA",0,0
"874","7-ELEVEN #35145","BUFFALO",0,0
"875","7-ELEVEN #35147","BUFFALO",0,0
"876","7-ELEVEN #35149","KENMORE",0,0
"877","7-ELEVEN #35150","TONAWANDA",0,0
"878","7-ELEVEN #35152 H","HAMBURG",0,0
"879","7-ELEVEN #35155H","CHEEKTOWAGA",2.6,5
"880","7-ELEVEN #35159H","LOCKPORT",0,0
"881","7-ELEVEN #35161H","BUFFALO",0,0
"882","7-ELEVEN #35165","BUFFALO",0,0
"883","7-ELEVEN #35175","NORTH TONAWANDA",0,0
"884","7-ELEVEN #35177H","CHEEKTOWAGA",0,0
"885","7-ELEVEN #35178","DEPEW",4,8
"886","7-ELEVEN #35179","NIAGARA FALLS",0,0
"887","7-ELEVEN #35180","NIAGARA FALLS",0,0
"888","7-ELEVEN #35183H","AMHERST",0,0
"889","7-ELEVEN #35193","ROCHESTER",0,0
"890","7-ELEVEN #35194H","ROCHESTER",0,0
"891","7-ELEVEN #35200","BATAVIA",0,0
"892","7-ELEVEN #35213H","SYRACUSE",4.3,15
"893","7-ELEVEN #35231H","BUFFALO",3,7
"894","7-ELEVEN #35236H","BUFFALO",0,0
"895","7-ELEVEN #35238","BUFFALO",0,0
"896","7-ELEVEN #35239","HAMBURG",0,0
"897","7-ELEVEN #35241","EAST AURORA",3.2,5
"898","7-ELEVEN #35246H","HILTON",0,0
"899","7-ELEVEN #35251","ELMIRA",0,0
"900","7-ELEVEN #35260","WESTFIELD",0,0
"901","7-ELEVEN #35261H","CORTLAND",0,0
"902","7-ELEVEN #35702J","NEW YORK",0,0
"903","7-ELEVEN #36100H","MIDDLE VILLAGE",3.5,17
"904","7-ELEVEN 11265","ORCHARD PARK",4.8,5
"905","7-ELEVEN 25957B","PORT JEFFERSON STA",4.4,5
"906","7-ELEVEN 32127B","EAST ELMHURST",3.3,24
"907","7-ELEVEN 32153D","LITTLE NECK",0,0
"908","7-ELEVEN 34373A","FREEPORT",0,0
"909","7-ELEVEN 35101H","RANDOLPH",0,0
"910","7-ELEVEN 35113H","ALMOND",0,0
"911","7-ELEVEN 35120","LEICESTER",4.6,25
"912","7-ELEVEN 35242H","WEST SENECA",0,0
"913","7-ELEVEN 3922A","LONG ISLAND",0,0
"914","7-ELEVEN FD STR","RIVERHEAD",0,0
"915","7-ELEVEN FD STR 11144G","GARDEN CITY PARK",4,8
"916","7-ELEVEN FD STR 11145E","COPIAGUE",3,16
"917","7-ELEVEN FD STR 11149C","DEER PARK",0,0
"918","7-ELEVEN FD STR 11157D","EAST NORTHPORT",0,0
"919","7-ELEVEN FD STR 11160","FARMINGDALE",0,0
"920","7-ELEVEN FD STR 11163G","HUNTINGTON STATION",0,0
"921","7-ELEVEN FD STR 11168F","LINDENHURST",0,0
"922","7-ELEVEN FD STR 11174F","EAST FARMINGDALE",2.5,2
"923","7-ELEVEN FD STR 11185 C","UNIONDALE",0,0
"924","7-ELEVEN FD STR 11192D","KINGS PARK",0,0
"925","7-ELEVEN FD STR 11193A","CENTEREACH",0,0
"926","7-ELEVEN FD STR 11195E","BRENTWOOD",0,0
"927","7-ELEVEN FD STR 11198E","ST JAMES",0,0
"928","7-ELEVEN FD STR 11199D","SAYVILLE",0,0
"929","7-ELEVEN FD STR 11201","RONKONKOMA",2.7,17
"930","7-ELEVEN FD STR 11205","DEER PARK",0,0
"931","7-ELEVEN FD STR 11207B","BAY SHORE",0,0
"932","7-ELEVEN FD STR 11210E","DEER PARK",0,0
"933","7-ELEVEN FD STR 11211","HAUPPAUGE",0,0
"934","7-ELEVEN FD STR 11213C","LAKE GROVE",3.4,7
"935","7-ELEVEN FD STR 11217B","BAY SHORE",2.2,20
"936","7-ELEVEN FD STR 11222D","BOHEMIA",0,0
"937","7-ELEVEN FD STR 11225F","PATCHOGUE",0,0
"938","7-ELEVEN FD STR 11226F","CORAM",0,0
"939","7-ELEVEN FD STR 11229","CORAM",0,0
"940","7-ELEVEN FD STR 11230G","WESTHAMPTON BEACH",0,0
"941","7-ELEVEN FD STR 11231C","BAY SHORE",0,0
"942","7-ELEVEN FD STR 11232F","HOLBROOK",0,0
"943","7-ELEVEN FD STR 11235C","SHIRLEY",0,0
"944","7-ELEVEN FD STR 11236D","CENTRAL ISLIP",0,0
"945","7-ELEVEN FD STR 11237D","EAST PATCHOGUE",0,0
"946","7-ELEVEN FD STR 11241D","FARMINGVILLE",0,0
"947","7-ELEVEN FD STR 11269F","CHEEKTOWAGA",0,0
"948","7-ELEVEN FD STR 11279E","HENRIETTA",0,0
"949","7-ELEVEN FD STR 15098D","PATCHOGUE",0,0
"950","7-ELEVEN FD STR 15528C","GARNERVILLE",3.8,8
"951","7-ELEVEN FD STR 15837F","EAST QUOGUE",4,5
"952","7-ELEVEN FD STR 15966","WEST HAMPTON",2.3,6
"953","7-ELEVEN FD STR 15991E","HALESITE",2.5,6
"954","7-ELEVEN FD STR 16025C","LINDENHURST",0,0
"955","7-ELEVEN FD STR 16202D","NORTH BABYLON",2.4,11
"956","7-ELEVEN FD STR 16299A","SELDEN",0,0
"957","7-ELEVEN FD STR 16369G","AMITYVILLE",1.8,5
